Customer ID,Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Customer Status,Churn Category,Churn Reason,Prediction Probability,Predicted Label,Avatar,Tech Support
0002-ORFBO,Female,37,Yes,0,Frazier Park,93225.0,34.827662,-118.999073,2,9,,Yes,42.39,No,Yes,Cable,16.0,No,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,65.6,593.3,0.0,0.0,Stayed,Client currently in the company,.,0.9408,Stayed,https://picsum.photos/150/150?random=408,
0003-MKNFE,Male,46,No,0,Glendale,91206.0,34.162515,-118.203869,0,9,,Yes,10.69,Yes,Yes,Cable,10.0,No,No,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,-4.0,542.4,38.33,10.0,Stayed,Client currently in the company,.,0.8005,Stayed,https://picsum.photos/150/150?random=998,
0004-TLHLJ,Male,50,No,0,Costa Mesa,92627.0,33.645672,-117.922613,0,4,Offer E,Yes,33.65,No,Yes,Fiber Optic,30.0,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.9,280.85,0.0,0.0,Churned,Competitor,Competitor had better devices,0.6923,Churned,https://picsum.photos/150/150?random=195,
0011-IGKFF,Male,78,Yes,0,Martinez,94553.0,38.014457,-122.115432,1,13,Offer D,Yes,27.82,No,Yes,Fiber Optic,4.0,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.0,1237.85,0.0,0.0,Churned,Dissatisfaction,Product dissatisfaction,0.964,Churned,https://picsum.photos/150/150?random=341,
0013-EXCHZ,Female,75,Yes,0,Camarillo,93010.0,34.227846,-119.079903,3,3,,Yes,7.38,No,Yes,Fiber Optic,11.0,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,83.9,267.4,0.0,0.0,Churned,Dissatisfaction,Network reliability,0.7575,Churned,https://picsum.photos/150/150?random=925,
0013-MHZWF,Female,23,No,3,Midpines,95345.0,37.581496,-119.972762,0,9,Offer E,Yes,16.77,No,Yes,Cable,73.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,69.4,571.45,0.0,0.0,Stayed,Client currently in the company,.,0.8171,Stayed,https://picsum.photos/150/150?random=190,
0013-SMEOE,Female,67,Yes,0,Lompoc,93437.0,34.757477,-120.550507,1,71,Offer A,Yes,9.96,No,Yes,Fiber Optic,14.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,109.7,7904.25,0.0,0.0,Stayed,Client currently in the company,.,0.8221,Stayed,https://picsum.photos/150/150?random=641,
0014-BMAQU,Male,52,Yes,0,Napa,94558.0,38.489789,-122.27011,8,63,Offer B,Yes,12.96,Yes,Yes,Fiber Optic,7.0,Yes,No,No,Yes,No,No,No,No,Two Year,Yes,Credit Card,84.65,5377.8,0.0,20.0,Stayed,Client currently in the company,.,0.9897,Stayed,https://picsum.photos/150/150?random=15,
0015-UOCOJ,Female,68,No,0,Simi Valley,93063.0,34.296813,-118.685703,0,7,Offer E,Yes,10.53,No,Yes,DSL,21.0,Yes,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,48.2,340.35,0.0,0.0,Stayed,Client currently in the company,.,0.9631,Stayed,https://picsum.photos/150/150?random=540,
0016-QLJIS,Female,43,Yes,1,Sheridan,95681.0,38.984756,-121.345074,3,65,,Yes,28.46,Yes,Yes,Cable,14.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,90.45,5957.9,0.0,0.0,Stayed,Client currently in the company,.,0.9934,Stayed,https://picsum.photos/150/150?random=787,
0017-DINOC,Male,47,No,0,Rancho Santa Fe,92091.0,32.99356,-117.207121,0,54,,No,0.0,No,Yes,Cable,10.0,Yes,No,No,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,45.2,2460.55,0.0,0.0,Stayed,Client currently in the company,.,0.9586,Stayed,https://picsum.photos/150/150?random=714,
0017-IUDMW,Female,25,Yes,2,Sunnyvale,94086.0,37.378541,-122.020456,2,72,,Yes,16.01,Yes,Yes,Fiber Optic,59.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,116.8,8456.75,0.0,0.0,Stayed,Client currently in the company,.,0.9922,Stayed,https://picsum.photos/150/150?random=9,
